"","hub_genes","GS1.FilterGenes.","datKME.MM.cyan.FilterGenes.","geneInfo0.geneSymbol.FilterGenes."
"1","ILMN_2700097",-0.220980381933237,0.892706162833244,"TEKT1"
"2","ILMN_2820831",-0.258733219617758,0.829983807560599,"MYCBPAP"
