Row Labels,Average of Active,Average of Reinfs,Average of VR5rate,Average of VR5rateD1,Average of VR5rateD2,Average of VR5rateD3,Average of All_6_firstCP_X,Average of All_6_firstCP_Y,Average of ActiveBC,Average of ReinfsBC,Average of VR5activeBC,Average of VR5activeD1BC,Average of VR5activeD2BC,Average of VR5activeD3BC,Average of All_6_firstCP_X_BC,Average of All_6_firstCP_Y_BC
BXD68.RwwJ,1209.2,285.8,0.01954,0.0146,0.020287779,0.02372397,43487.064,7.2,6.873181924,6.948811856,3.2273392,1.053517815,1.728174199,2.765073597,19.01054065,1.990634591
BXD75.RwwJ,2115.666667,579.6666667,0.026266667,0.033183333,0.023756977,0.021773333,7654.796667,12.16666667,14.91059533,14.47163326,10.56501032,3.887686423,5.881718608,8.156281696,13.9184646,2.48127438
BXD77.RwwJ,693,209.3333333,0.012,0.0152,0.014233333,0.006533333,36972.47667,6.333333333,7.494334403,7.425854669,4.179322953,1.263122571,2.577742392,3.315612536,17.89821049,1.865033152
BXD84.RwwJ,2757.5,657,0.03235,0.027,0.02985,0.04025,43730.225,21,14.70763167,14.50117954,7.868880105,2.582722723,4.162695888,6.94357869,17.02252353,3.170666345
BXD9.TyJ,3655.8,894.4,0.04542,0.048184226,0.04582,0.04228,3442.692,10.2,19.41297426,18.4803525,14.24671399,4.934979296,7.898028317,11.81826626,12.76159147,2.271066941
BXD90.RwwJ,872,252,0.00875,0,0.011,0.0153,3093.395,12,8.556304236,8.126793622,6.038796002,0,3.488209519,5.592767725,2.664902034,-2.63778157
BXD95.RwwJ,1032.5,292,0.0104,0,0.0107,0.02055,27517.33,8,10.04399574,9.745547905,6.350590728,0,3.498266462,6.074354463,18.38101135,2.125200975
BXD96.RwwJ,5555.5,1277,0.067017545,0.06835,0.06025,0.0725,3142.38,16,21.66485199,20.77111086,15.8898629,5.322945116,8.2755191,13.67417632,12.46087195,2.895610402
BXH19.TyJ,576.5,220,0.00935,0.01415,0.00855,0.0054,45566.155,19,8.72201213,8.854034559,5.180528268,1.973768074,3.233424566,3.851670084,19.27590574,2.88765296
BXH22.KccJ,75.75,45.375,0.0013375,0,0.0033625,0.00065375,35966.50625,4.25,3.605137683,3.923802973,0.85062411,0,0.353606358,0.844570835,11.24003092,-0.866419371
BXH4.TyJ,17.66666667,16.66666667,0,0,0,0,25609.17,3.666666667,2.850255005,3.162481178,0,0,0,0,16.82075762,1.224222991
BXH6.TyJ,3830.666667,891.6666667,0.046596667,0.035533333,0.047583034,0.056633333,23689.92333,7.333333333,18.4121232,17.38792,13.55924927,3.412162184,5.709525521,12.18018828,15.9085702,1.911428914
BXH8.TyJ,1634,390,0.02085,0,0.0221,0.0405,42849.365,5,10.34006411,9.733358149,7.122324286,0,3.775125592,6.929995131,19.5260707,1.567831986
BXH9.TyJ,2284.25,655.25,0.0345,0.050161502,0.0205,0.03288,8094.4325,8.75,17.35324145,16.78893479,12.73577326,4.407290307,6.663893685,10.62867551,13.85991091,1.950860373
C3H.HeJ,839.2,241.8,0.01908,0.00768918,0.00476,0.04482,66064.38,12.6,9.66019144,9.435301032,5.872772529,0.883568448,1.43405819,5.869205605,19.47192284,2.639627353
C57BL.6J,1357.444444,341.2222222,0.017953333,0.0137,0.012488889,0.027644444,30496.91111,5.444444444,10.14515555,9.633083724,6.79372211,1.157508621,1.833469292,6.328720785,16.85551136,1.657459081
C57BLKS.J,3672,927,0.049344329,0.0576,0.0373,0.05315,8464.98,9.5,19.29822151,18.59143469,14.18674373,4.96472847,7.630767274,12.07925823,14.45453552,2.212099764
C57L.J,6151,1421,0.0813,0.0678,0.097832561,0.07835,1771.615,16.5,22.18118768,21.45463564,16.22286987,5.343345276,8.624276662,13.71041524,11.24210268,2.948160184
C58.J,2652.5,680.25,0.0407,0.03615,0.0263425,0.05965,3083.4525,14.75,16.59041624,16.07588629,11.77532135,3.365376964,4.995266914,10.65156837,11.9427329,2.711612303
CBA.J,1896.285714,446.8571429,0.0328638,0.029011199,0.028133818,0.041432519,28638.10571,8.285714286,10.78590717,10.45600844,6.316866736,1.331541079,2.474850631,5.82271979,16.15505377,2.057185176
CE.J,4515.5,1095,0.04985,0.0608,0.05525,0.03355,951.94,13.5,20.52933116,19.7363484,15.09559213,5.33140528,8.196522207,11.37658194,10.0579787,2.721047312
CXB1.ByJ,894.1666667,238.5,0.017052378,0.024172086,0.009483333,0.0175,26044.41667,5.166666667,6.70996468,6.748646472,3.774017164,0.841354258,1.376920448,3.520128645,13.52751202,0.150130934
CXB11.HiAJ,4809.75,1145.75,0.065450851,0.078536,0.055075,0.062775,6836.0925,13.75,20.61405535,19.85964816,15.1071983,5.159162802,7.833217115,12.95610624,14.20044433,2.672434143
CXB8.HiAJ,2797,743.5,0.0292,0.0416,0.02501,0.02088,1330.48,13,17.94150691,17.31124039,13.09736886,5.074180466,6.727590922,9.835188558,10.73285679,2.601834516
DBA.2J,1987.5,491,0.035244411,0.031184625,0.02636,0.048163548,24678.71333,16.5,11.11122559,10.38631553,7.516319527,0.154011153,2.172569863,6.980719307,16.9846511,2.671870659
FVB.NJ,3766,804.8333333,0.064918215,0.035876913,0.057419008,0.101470467,13913.81667,9,17.06784229,15.80359169,12.25967886,1.832273822,4.360579662,11.31990224,13.48621542,2.211082873
I.LnJ,4850.4,1066.4,0.06186,0.04228,0.066865333,0.076405365,13425.212,7.2,18.06045509,17.18467917,12.94210051,3.239311343,6.931778632,11.13048663,12.81185871,1.910493661
KK.HlJ,2195.5,643.5,0.0222,0.0292,0.02665,0.01084,1801.155,8.5,17.24195836,16.72091539,12.67208102,4.715284777,7.307049515,8.53242694,11.40465556,2.207601804
LG.J,1147.5,431.5,0.0150925,0.02742,0.009031661,0.0088975,1831.0725,14.25,14.52232093,14.67736896,9.871524807,3.92226923,5.870532993,6.914912531,11.40296043,2.141570045
LP.J,813.6666667,254.3333333,0.020566667,0.020466667,0.0089,0.032333333,58527.89667,7.333333333,9.562168553,9.4266347,5.299027862,1.593460571,2.443884546,4.373152623,20.08064284,2.033597508
