"","hub_genes","GS1.FilterGenes.","datKME.MM.turquoise.FilterGenes.","geneInfo0.geneSymbol.FilterGenes."
"85","ILMN_1247990",-0.477570295613005,0.804577077342811,"PURB"
"86","ILMN_1248041",0.513693783764469,-0.816426263793771,"ROCK2"
"87","ILMN_1248381",0.411156851467321,-0.922925456625487,"MAT2B"
"88","ILMN_1248692",0.370706085560297,-0.90478051449096,"CACNG3"
"89","ILMN_1248850",-0.444532942814384,0.824064190082025,"GGA1"
"90","ILMN_1249269",0.522040107120338,-0.873439912802,"5830457O10RIK"
"91","ILMN_1249522",0.42136223884522,-0.84603013603091,"ABCF2"
"92","ILMN_1249836",0.40809772764236,-0.852745631049535,"40071"
"93","ILMN_1250000",0.376770944522386,-0.918351161438492,"1500003O03RIK"
"94","ILMN_1250469",-0.391012501023438,0.883523248979971,"BCL9L"
"95","ILMN_1251682",0.346408712992556,-0.850367257945013,"PREI4"
"96","ILMN_1252068",0.578372077514553,-0.913394945795989,"SYNJ2BP"
"97","ILMN_1252199",0.400893146698391,-0.839661563598844,"AUP1"
"98","ILMN_1252214",0.449008168286596,-0.956782248599025,"PFKM"
"99","ILMN_1252294",0.422535651990448,-0.95369829781328,"EEF2"
"100","ILMN_1252389",0.463255013757322,-0.90091089391942,"LOC100046136"
"101","ILMN_1252819",0.320646589133517,-0.808795039728934,"PRMT7"
"102","ILMN_1254113",0.451723570573596,-0.885345812376472,"SNX2"
"103","ILMN_1254154",-0.397723126686226,0.922679217943556,"BAT2"
"104","ILMN_1254231",0.456694994420444,-0.826559772508523,"UCK1"
"105","ILMN_1254697",0.484766122914725,-0.93189756549227,"RTN1"
"106","ILMN_1254837",0.342983876659216,-0.801024230001111,"RAB7"
"107","ILMN_1255263",0.299683163007256,-0.821919906241888,"SCAMP5"
"108","ILMN_1255332",0.411989853428478,-0.809607322557457,"LSAMP"
"109","ILMN_1255644",-0.358020276432585,0.816198364714041,"ATN1"
"110","ILMN_1255741",0.306866992559294,-0.820622744580706,"CDK10"
"111","ILMN_1255745",0.580796116381904,-0.93335091170829,"TPRGL"
"112","ILMN_1255927",-0.399332986263316,0.853700357646266,"UBTF"
"113","ILMN_1256019",0.433959216162938,-0.905285577034071,"LOC333331"
"114","ILMN_1256671",0.434478687751212,-0.851281230572693,"HNRNPH1"
"115","ILMN_1257193",0.346234080108195,-0.823790269508949,"PPM1A"
"116","ILMN_1257279",0.328061687520561,-0.820447768948477,"VPS41"
"117","ILMN_1257751",-0.325009531446436,0.805152385967703,"DLGAP3"
"118","ILMN_1257872",0.497547581407458,-0.893884448551472,"4933434E20RIK"
"119","ILMN_1258086",-0.305056007266091,0.85938039650302,"SETD1B"
"120","ILMN_1258534",0.445361578347326,-0.923894827313216,"ATP6V0D1"
"121","ILMN_1258782",0.561387684310547,-0.837679140986148,"HIP2"
"122","ILMN_1258846",0.440636700140231,-0.898819174776981,"KRR1"
"123","ILMN_1259754",0.419278383160695,-0.929553081130759,"RNF4"
"124","ILMN_2420200",0.397570485828107,-0.875636382230822,"USP8"
"125","ILMN_2420505",0.267306151594147,-0.815574468986417,"VPS16"
"126","ILMN_2428963",0.327407002455393,-0.850351336936521,"XPNPEP1"
"127","ILMN_2435079",0.472794294408076,-0.83912630823714,"ZMPSTE24"
"128","ILMN_2440530",-0.468844688244954,0.836120906662636,"VAT1"
"129","ILMN_2441335",-0.457907557519572,0.823925929698275,"ABCG1"
"130","ILMN_2444316",0.337968811074679,-0.88383580862324,"TPM3"
"131","ILMN_2445477",0.393724864942505,-0.876893064814599,"WARS"
"132","ILMN_2458671",0.386267635580758,-0.814584742461733,"VLDLR"
"133","ILMN_2463447",0.384654991698691,-0.928150275408451,"TRAPPC3"
"134","ILMN_2466034",0.616927204424214,-0.814676189474983,"UBL4"
"135","ILMN_2471634",0.49693691812431,-0.931351934821288,"ZMPSTE24"
"136","ILMN_2479530",0.409668106405842,-0.821673016249629,"ZHX1"
"137","ILMN_2479666",0.401880197710186,-0.822005728178201,"UCK1"
"138","ILMN_2479786",0.43208215574447,-0.832601759380144,"UBQLN1"
"139","ILMN_2482026",0.518306045690824,-0.866976007689212,"UBE2G1"
"140","ILMN_2482555",0.415589277184842,-0.865697932994812,"UBQLN1"
"141","ILMN_2482766",0.453151853473393,-0.925411113488256,"TSPYL1"
"142","ILMN_2492161",0.406395219341707,-0.92324717032575,"TSSC1"
"143","ILMN_2498173",0.456990821665993,-0.900017553367655,"UROS"
"144","ILMN_2503748",0.388453183437721,-0.847234239176949,"TRAPPC3"
"145","ILMN_2505307",0.425190953919163,-0.910326314504562,"YME1L1"
"146","ILMN_2506144",0.507906645994863,-0.904557376505861,"VAPB"
"147","ILMN_2507883",0.338557775686069,-0.834822792210409,"WDR13"
"148","ILMN_2509139",0.495652477548925,-0.823934466658499,"TRAM1"
"149","ILMN_2512042",0.461254052332969,-0.925162515369296,"UBE2E3"
"150","ILMN_2512043",0.43601542741061,-0.917377313955547,"LOC100047012"
"151","ILMN_2520635",0.364471029219869,-0.807738820327312,"YTHDF2"
"152","ILMN_2533766",0.423278279398993,-0.808116066225814,"CCDC109A"
"153","ILMN_2589181",0.38969214879679,-0.949420004441114,"EEF2"
"154","ILMN_2589266",0.545371311372972,-0.873000304589293,"MRRF"
"155","ILMN_2589477",0.465702549430807,-0.939468574162369,"DARS"
"156","ILMN_2590349",0.316639738199053,-0.82996000969008,"2510010F15RIK"
"157","ILMN_2590350",0.434393865721249,-0.897796717308992,"UBE2F"
"158","ILMN_2592059",-0.471552436473889,0.926951772563292,"SPEN"
"159","ILMN_2593368",0.397773943305754,-0.810250426309083,"MAT2A"
"160","ILMN_2594419",0.429259816049849,-0.806413195790172,"GIPC1"
"161","ILMN_2594521",0.395396052292215,-0.807173200670636,"NSDHL"
"162","ILMN_2594525",0.402692617071751,-0.820400639050582,"NSDHL"
"163","ILMN_2596907",0.48642693733749,-0.84011310413055,"PPP2R5D"
"164","ILMN_2598520",0.376709689347256,-0.90948597443192,"2410091C18RIK"
"165","ILMN_2598883",0.40376866498091,-0.888494150391921,"POLDIP3"
"166","ILMN_2598946",-0.397881518151948,0.804052664196938,"BAI2"
"167","ILMN_2599615",0.372813335685466,-0.919256434159005,"ERGIC3"
"168","ILMN_2604676",0.375192303788034,-0.859411183741195,"B230317C12RIK"
"169","ILMN_2605566",0.230981082501116,-0.806246623079883,"SDCCAG3"
"170","ILMN_2606015",0.279096078815133,-0.827752723765899,"2500002L14RIK"
"171","ILMN_2606579",0.300908348257369,-0.821314103246089,"GPSN2"
