Strains,Active,Reinfs,VR5rate,VR5rateD1,VR5rateD2,VR5rateD3,All_6_firstCP_X,All_6_firstCP_Y,ActiveBC,ReinfsBC,VR5rateBC,VR5rateD1BC,VR5rateD2BC,VR5rateD3BC,All_6_firstCP_X_BC,All_6_firstCP_Y_BC
C58_J,2652.5,680.25,0.0407,0.03615,0.0263425,0.05965,3083.4525,14.75,16.59041624,16.07588629,0.026570727,0.020878128,0.015547415,0.038663209,11.9427329,2.711612303
CBA_J,1896.285714,446.8571429,0.0328638,0.029011199,0.028133818,0.041432519,28638.10571,8.285714286,10.78590717,10.45600844,0.014966979,0.010863121,0.010540902,0.020928419,16.15505377,2.057185176
CE_J,4515.5,1095,0.04985,0.0608,0.05525,0.03355,951.94,13.5,20.52933116,19.7363484,0.031041531,0.032078272,0.029043092,0.025416547,10.0579787,2.721047312
DBA_2J,2386.8,591,0.037093293,0.02442155,0.02994,0.056892257,26090.062,12,14.95379938,14.08107207,0.023202658,0.012950455,0.017274882,0.03322723,17.01595085,2.420156216
FVB_NJ,3766,804.8333333,0.064918215,0.035876913,0.057419008,0.101470467,13913.81667,9,17.06784229,15.80359169,0.031155327,0.012860624,0.019088685,0.045313846,13.48621542,2.211082873
I_LnJ,4850.4,1066.4,0.06186,0.04228,0.066865333,0.076405365,13425.212,7.2,18.06045509,17.18467917,0.031462134,0.020466051,0.027945262,0.038868631,12.81185871,1.910493661
KK_HlJ,2195.5,643.5,0.0222,0.0292,0.02665,0.01084,1801.155,8.5,17.24195836,16.72091539,0.017584135,0.01838188,0.019289994,0.009800601,11.40465556,2.207601804
LG_J,1147.5,431.5,0.0150925,0.02742,0.009031661,0.0088975,1831.0725,14.25,14.52232093,14.67736896,0.01258077,0.016436213,0.007949259,0.007957932,11.40296043,2.141570045
LP_J,813.6666667,254.3333333,0.020566667,0.020466667,0.0089,0.032333333,58527.89667,7.333333333,9.562168553,9.4266347,0.015230679,0.010764133,0.00648428,0.020510826,20.08064284,2.033597508
NOD_LtJ,5414,1255.4,0.0703,0.06928,0.054631884,0.08704,6320.362,13.2,21.41322955,20.56798496,0.037248842,0.033123768,0.02761032,0.047556222,13.6014236,2.56814801
NON_LtJ,6324,1462.5,0.09085,0.084866414,0.0989,0.088744367,4438.2,20,22.33456514,21.64999156,0.042052265,0.03659205,0.036959093,0.048018274,13.25601376,3.156640864
NZB_BlNJ,3329.5,846.5,0.0516,0.02805,0.066610893,0.060166749,23914.35,24.5,17.64457302,17.28464283,0.026234108,0.015479811,0.026519813,0.032895909,15.91068991,3.226484527
NZW_LacJ,2483,697.5,0.044526182,0.0721,0.026684568,0.0348,17141.045,7,17.1169347,16.81434056,0.029150014,0.034535896,0.018573838,0.025796021,16.89343569,1.971233183
PL_J,803.5,265.5,0.00995,0.00915,0.01145,0.00925,44195.235,24,9.285737516,9.227780622,0.008191285,0.007401972,0.008704443,0.008016856,17.84896722,2.993276132
RIIIS_J,1656.2,535,0.01742,0.01467,0.0169929,0.020588,4431.548,22.2,15.78305233,15.63647789,0.013946371,0.011449559,0.012947439,0.016453846,13.22854121,3.235021368
SM_J,3664.666667,911.6666667,0.054466667,0.043566667,0.050165773,0.069605116,15264.65333,13.66666667,19.27637294,18.4437871,0.031416265,0.021309306,0.027453677,0.041281318,16.42357085,2.719378766
